service_id,date,exception_type
FULLW, 20070101, 1
FULLW, 20070102, 1
FULLW, 20070103, 1
FULLW, 20070104, 1
FULLW, 20070105, 1
FULLW, 20070106, 1
WE, 20070106, 1
FULLW, 20070107, 1
WE, 20070107, 1
FULLW, 20070108, 1
FULLW, 20070109, 1
FULLW, 20070110, 1
FULLW, 20070111, 1
FULLW, 20070112, 1
FULLW, 20070113, 1
WE, 20070113, 1
FULLW, 20070114, 1
WE, 20070114, 1
FULLW, 20070115, 1
FULLW, 20070116, 1
FULLW, 20070117, 1
FULLW, 20070118, 1
FULLW, 20070119, 1
FULLW, 20070120, 1
WE, 20070120, 1
FULLW, 20070121, 1
WE, 20070121, 1
FULLW, 20070122, 1
FULLW, 20070123, 1
FULLW, 20070124, 1
FULLW, 20070125, 1
FULLW, 20070126, 1
FULLW, 20070127, 1
WE, 20070127, 1
FULLW, 20070128, 1
WE, 20070128, 1
FULLW, 20070129, 1
FULLW, 20070130, 1
FULLW, 20070131, 1
FULLW, 20070201, 1
FULLW, 20070202, 1
FULLW, 20070203, 1
WE, 20070203, 1
FULLW, 20070204, 1
WE, 20070204, 1
FULLW, 20070205, 1
FULLW, 20070206, 1
FULLW, 20070207, 1
FULLW, 20070208, 1
FULLW, 20070209, 1
FULLW, 20070210, 1
WE, 20070210, 1
FULLW, 20070211, 1
WE, 20070211, 1
FULLW, 20070212, 1
FULLW, 20070213, 1
FULLW, 20070214, 1
FULLW, 20070215, 1
FULLW, 20070216, 1
FULLW, 20070217, 1
WE, 20070217, 1
FULLW, 20070218, 1
WE, 20070218, 1
FULLW, 20070219, 1
FULLW, 20070220, 1
FULLW, 20070221, 1
FULLW, 20070222, 1
FULLW, 20070223, 1
FULLW, 20070224, 1
WE, 20070224, 1
FULLW, 20070225, 1
WE, 20070225, 1
FULLW, 20070226, 1
FULLW, 20070227, 1
FULLW, 20070228, 1
FULLW, 20070301, 1
FULLW, 20070302, 1
FULLW, 20070303, 1
WE, 20070303, 1
FULLW, 20070304, 1
WE, 20070304, 1
FULLW, 20070305, 1
FULLW, 20070306, 1
FULLW, 20070307, 1
FULLW, 20070308, 1
FULLW, 20070309, 1
FULLW, 20070310, 1
WE, 20070310, 1
FULLW, 20070311, 1
WE, 20070311, 1
FULLW, 20070312, 1
FULLW, 20070313, 1
FULLW, 20070314, 1
FULLW, 20070315, 1
FULLW, 20070316, 1
FULLW, 20070317, 1
WE, 20070317, 1
FULLW, 20070318, 1
WE, 20070318, 1
FULLW, 20070319, 1
FULLW, 20070320, 1
FULLW, 20070321, 1
FULLW, 20070322, 1
FULLW, 20070323, 1
FULLW, 20070324, 1
WE, 20070324, 1
FULLW, 20070325, 1
WE, 20070325, 1
FULLW, 20070326, 1
FULLW, 20070327, 1
FULLW, 20070328, 1
FULLW, 20070329, 1
FULLW, 20070330, 1
FULLW, 20070331, 1
WE, 20070331, 1
FULLW, 20070401, 1
WE, 20070401, 1
FULLW, 20070402, 1
FULLW, 20070403, 1
FULLW, 20070405, 1
FULLW, 20070406, 1
FULLW, 20070407, 1
WE, 20070407, 1
FULLW, 20070408, 1
WE, 20070408, 1
FULLW, 20070409, 1
FULLW, 20070410, 1
FULLW, 20070411, 1
FULLW, 20070412, 1
FULLW, 20070413, 1
FULLW, 20070414, 1
WE, 20070414, 1
FULLW, 20070415, 1
WE, 20070415, 1
FULLW, 20070416, 1
FULLW, 20070417, 1
FULLW, 20070418, 1
FULLW, 20070419, 1
FULLW, 20070420, 1
FULLW, 20070421, 1
WE, 20070421, 1
FULLW, 20070422, 1
WE, 20070422, 1
FULLW, 20070423, 1
FULLW, 20070424, 1
FULLW, 20070425, 1
FULLW, 20070426, 1
FULLW, 20070427, 1
FULLW, 20070428, 1
WE, 20070428, 1
FULLW, 20070429, 1
WE, 20070429, 1
FULLW, 20070430, 1
FULLW, 20070501, 1
FULLW, 20070502, 1
FULLW, 20070503, 1
FULLW, 20070504, 1
FULLW, 20070505, 1
WE, 20070505, 1
FULLW, 20070506, 1
WE, 20070506, 1
FULLW, 20070507, 1
FULLW, 20070508, 1
FULLW, 20070509, 1
FULLW, 20070510, 1
FULLW, 20070511, 1
FULLW, 20070512, 1
WE, 20070512, 1
FULLW, 20070513, 1
WE, 20070513, 1
FULLW, 20070514, 1
FULLW, 20070515, 1
FULLW, 20070516, 1
FULLW, 20070517, 1
FULLW, 20070518, 1
FULLW, 20070519, 1
WE, 20070519, 1
FULLW, 20070520, 1
WE, 20070520, 1
FULLW, 20070521, 1
FULLW, 20070522, 1
FULLW, 20070523, 1
FULLW, 20070524, 1
FULLW, 20070525, 1
FULLW, 20070526, 1
WE, 20070526, 1
FULLW, 20070527, 1
WE, 20070527, 1
FULLW, 20070528, 1
FULLW, 20070529, 1
FULLW, 20070530, 1
FULLW, 20070531, 1
FULLW, 20070601, 1
FULLW, 20070602, 1
WE, 20070602, 1
FULLW, 20070603, 1
WE, 20070603, 1
FULLW, 20070604, 1
FULLW, 20070605, 1
FULLW, 20070606, 1
FULLW, 20070607, 1
FULLW, 20070608, 1
FULLW, 20070609, 1
WE, 20070609, 1
FULLW, 20070610, 1
WE, 20070610, 1
FULLW, 20070611, 1
FULLW, 20070612, 1
FULLW, 20070613, 1
FULLW, 20070614, 1
FULLW, 20070615, 1
FULLW, 20070616, 1
WE, 20070616, 1
FULLW, 20070617, 1
WE, 20070617, 1
FULLW, 20070618, 1
FULLW, 20070619, 1
FULLW, 20070620, 1
FULLW, 20070621, 1
FULLW, 20070622, 1
FULLW, 20070623, 1
WE, 20070623, 1
FULLW, 20070624, 1
WE, 20070624, 1
FULLW, 20070625, 1
FULLW, 20070626, 1
FULLW, 20070627, 1
FULLW, 20070628, 1
FULLW, 20070629, 1
FULLW, 20070630, 1
WE, 20070630, 1
FULLW, 20070701, 1
WE, 20070701, 1
FULLW, 20070702, 1
FULLW, 20070703, 1
FULLW, 20070704, 1
FULLW, 20070705, 1
FULLW, 20070706, 1
FULLW, 20070707, 1
WE, 20070707, 1
FULLW, 20070708, 1
WE, 20070708, 1
FULLW, 20070709, 1
FULLW, 20070710, 1
FULLW, 20070711, 1
FULLW, 20070712, 1
FULLW, 20070713, 1
FULLW, 20070714, 1
WE, 20070714, 1
FULLW, 20070715, 1
WE, 20070715, 1
FULLW, 20070716, 1
FULLW, 20070717, 1
FULLW, 20070718, 1
FULLW, 20070719, 1
FULLW, 20070720, 1
FULLW, 20070721, 1
WE, 20070721, 1
FULLW, 20070722, 1
WE, 20070722, 1
FULLW, 20070723, 1
FULLW, 20070724, 1
FULLW, 20070725, 1
FULLW, 20070726, 1
FULLW, 20070727, 1
FULLW, 20070728, 1
WE, 20070728, 1
FULLW, 20070729, 1
WE, 20070729, 1
FULLW, 20070730, 1
FULLW, 20070731, 1
FULLW, 20070801, 1
FULLW, 20070802, 1
FULLW, 20070803, 1
FULLW, 20070804, 1
WE, 20070804, 1
FULLW, 20070805, 1
WE, 20070805, 1
FULLW, 20070806, 1
FULLW, 20070807, 1
FULLW, 20070808, 1
FULLW, 20070809, 1
FULLW, 20070810, 1
FULLW, 20070811, 1
WE, 20070811, 1
FULLW, 20070812, 1
WE, 20070812, 1
FULLW, 20070813, 1
FULLW, 20070814, 1
FULLW, 20070815, 1
FULLW, 20070816, 1
FULLW, 20070817, 1
FULLW, 20070818, 1
WE, 20070818, 1
FULLW, 20070819, 1
WE, 20070819, 1
FULLW, 20070820, 1
FULLW, 20070821, 1
FULLW, 20070822, 1
FULLW, 20070823, 1
FULLW, 20070824, 1
FULLW, 20070825, 1
WE, 20070825, 1
FULLW, 20070826, 1
WE, 20070826, 1
FULLW, 20070827, 1
FULLW, 20070828, 1
FULLW, 20070829, 1
FULLW, 20070830, 1
FULLW, 20070831, 1
FULLW, 20070901, 1
WE, 20070901, 1
FULLW, 20070902, 1
WE, 20070902, 1
FULLW, 20070903, 1
FULLW, 20070904, 1
FULLW, 20070905, 1
FULLW, 20070906, 1
FULLW, 20070907, 1
FULLW, 20070908, 1
WE, 20070908, 1
FULLW, 20070909, 1
WE, 20070909, 1
FULLW, 20070910, 1
FULLW, 20070911, 1
FULLW, 20070912, 1
FULLW, 20070913, 1
FULLW, 20070914, 1
FULLW, 20070915, 1
WE, 20070915, 1
FULLW, 20070916, 1
WE, 20070916, 1
FULLW, 20070917, 1
FULLW, 20070918, 1
FULLW, 20070919, 1
FULLW, 20070920, 1
FULLW, 20070921, 1
FULLW, 20070922, 1
WE, 20070922, 1
FULLW, 20070923, 1
WE, 20070923, 1
FULLW, 20070924, 1
FULLW, 20070925, 1
FULLW, 20070926, 1
FULLW, 20070927, 1
FULLW, 20070928, 1
FULLW, 20070929, 1
WE, 20070929, 1
FULLW, 20070930, 1
WE, 20070930, 1
FULLW, 20071001, 1
FULLW, 20071002, 1
FULLW, 20071003, 1
FULLW, 20071004, 1
FULLW, 20071005, 1
