object_type,object_id,object_system,object_code
network,ligneflexible,navitia1,FilvertTAD
trip,route_1,navitia1,route_1
trip,route_2,navitia1,route_2
trip,route_3,navitia1,route_3
stop_area,SA:A,navitia1,A
stop_area,SA:B,navitia1,B
stop_area,SA:C,navitia1,C
stop_area,SA:D,navitia1,D
stop_area,SA:E,navitia1,E
stop_area,SA:F,navitia1,F
stop_area,SA:J,navitia1,J
stop_point,SP:A,navitia1,A
stop_point,SP:B,navitia1,B
stop_point,SP:C,navitia1,C
stop_point,SP:D,navitia1,D
stop_point,SP:E,navitia1,E
stop_point,SP:F,navitia1,F
stop_point,SP:J,navitia1,J
route,route_1,navitia1,route_1
route,route_2,navitia1,route_2
route,route_3,navitia1,route_3
line,11,navitia1,11
