calendar_id,line_external_code
Nav55,REG_LaV
Nav56,REG_LaV
Nav57,REG_LaV
Nav58,REG_LaV
Nav60,REG_LaV
Nav61,REG_LaV
Nav62,REG_LaV
Nav63,REG_LaV
Nav64,REG_LaV
Nav65,REG_LaV
Nav66,REG_LaV
Nav67,REG_LaV
Nav68,REG_LaV
Nav69,REG_LaV
Nav70,REG_LaV
Nav111,REG_LaV
Nav71,REG_LaV
Nav72,REG_LaV
Nav73,REG_LaV
Nav74,REG_LaV
Nav75,REG_LaV
Nav76,REG_LaV
Nav77,REG_LaV
Nav78,REG_LaV
Nav79,REG_LaV
Nav80,REG_LaV
Nav81,REG_LaV
Nav82,REG_LaV
Nav83,REG_LaV
Nav89,REG_LaV
Nav90,REG_LaV
Nav91,REG_LaV
Nav92,REG_LaV
Nav93,REG_LaV
Nav94,REG_LaV
Nav95,REG_LaV
Nav96,REG_LaV
Nav97,REG_LaV
Nav98,REG_LaV
Nav99,REG_LaV
Nav100,REG_LaV
Nav101,REG_LaV
Nav102,REG_LaV
Nav103,REG_LaV
Nav104,REG_LaV
Nav105,REG_LaV
Nav113,REG_LaV
Nav84,REG_LaV
Nav85,REG_LaV
Nav88,REG_LaV
Nav112,REG_LaV
Nav114,REG_LaV
Nav87,REG_LaV
Nav55,REG_S
Nav56,REG_S
Nav57,REG_S
Nav58,REG_S
Nav60,REG_S
Nav61,REG_S
Nav62,REG_S
Nav63,REG_S
Nav64,REG_S
Nav65,REG_S
Nav66,REG_S
Nav67,REG_S
Nav68,REG_S
Nav69,REG_S
Nav70,REG_S
Nav111,REG_S
Nav71,REG_S
Nav72,REG_S
Nav73,REG_S
Nav74,REG_S
Nav75,REG_S
Nav76,REG_S
Nav77,REG_S
Nav78,REG_S
Nav79,REG_S
Nav80,REG_S
Nav81,REG_S
Nav82,REG_S
Nav83,REG_S
Nav89,REG_S
Nav90,REG_S
Nav91,REG_S
Nav92,REG_S
Nav93,REG_S
Nav94,REG_S
Nav95,REG_S
Nav96,REG_S
Nav97,REG_S
Nav98,REG_S
Nav99,REG_S
Nav100,REG_S
Nav101,REG_S
Nav102,REG_S
Nav103,REG_S
Nav104,REG_S
Nav105,REG_S
Nav113,REG_S
Nav84,REG_S
Nav85,REG_S
Nav88,REG_S
Nav112,REG_S
Nav114,REG_S
Nav87,REG_S
Nav55,REG_DJF
Nav56,REG_DJF
Nav57,REG_DJF
Nav58,REG_DJF
Nav60,REG_DJF
Nav61,REG_DJF
Nav62,REG_DJF
Nav63,REG_DJF
Nav64,REG_DJF
Nav65,REG_DJF
Nav66,REG_DJF
Nav67,REG_DJF
Nav68,REG_DJF
Nav69,REG_DJF
Nav70,REG_DJF
Nav111,REG_DJF
Nav71,REG_DJF
Nav72,REG_DJF
Nav73,REG_DJF
Nav74,REG_DJF
Nav75,REG_DJF
Nav76,REG_DJF
Nav77,REG_DJF
Nav78,REG_DJF
Nav79,REG_DJF
Nav80,REG_DJF
Nav81,REG_DJF
Nav82,REG_DJF
Nav83,REG_DJF
Nav89,REG_DJF
Nav90,REG_DJF
Nav91,REG_DJF
Nav92,REG_DJF
Nav93,REG_DJF
Nav94,REG_DJF
Nav95,REG_DJF
Nav96,REG_DJF
Nav97,REG_DJF
Nav98,REG_DJF
Nav99,REG_DJF
Nav100,REG_DJF
Nav101,REG_DJF
Nav102,REG_DJF
Nav103,REG_DJF
Nav104,REG_DJF
Nav105,REG_DJF
Nav113,REG_DJF
Nav84,REG_DJF
Nav85,REG_DJF
Nav88,REG_DJF
Nav112,REG_DJF
Nav114,REG_DJF
Nav87,REG_DJF
Nav55,VAC_LaV
Nav56,VAC_LaV
Nav57,VAC_LaV
Nav58,VAC_LaV
Nav60,VAC_LaV
Nav61,VAC_LaV
Nav62,VAC_LaV
Nav63,VAC_LaV
Nav64,VAC_LaV
Nav65,VAC_LaV
Nav66,VAC_LaV
Nav67,VAC_LaV
Nav68,VAC_LaV
Nav69,VAC_LaV
Nav70,VAC_LaV
Nav111,VAC_LaV
Nav71,VAC_LaV
Nav72,VAC_LaV
Nav73,VAC_LaV
Nav74,VAC_LaV
Nav75,VAC_LaV
Nav76,VAC_LaV
Nav77,VAC_LaV
Nav78,VAC_LaV
Nav79,VAC_LaV
Nav80,VAC_LaV
Nav81,VAC_LaV
Nav82,VAC_LaV
Nav83,VAC_LaV
Nav89,VAC_LaV
Nav90,VAC_LaV
Nav91,VAC_LaV
Nav92,VAC_LaV
Nav93,VAC_LaV
Nav94,VAC_LaV
Nav95,VAC_LaV
Nav96,VAC_LaV
Nav97,VAC_LaV
Nav98,VAC_LaV
Nav99,VAC_LaV
Nav100,VAC_LaV
Nav101,VAC_LaV
Nav102,VAC_LaV
Nav103,VAC_LaV
Nav104,VAC_LaV
Nav105,VAC_LaV
Nav113,VAC_LaV
Nav84,VAC_LaV
Nav85,VAC_LaV
Nav88,VAC_LaV
Nav112,VAC_LaV
Nav114,VAC_LaV
Nav87,VAC_LaV
Nav55,VAC_S
Nav56,VAC_S
Nav57,VAC_S
Nav58,VAC_S
Nav60,VAC_S
Nav61,VAC_S
Nav62,VAC_S
Nav63,VAC_S
Nav64,VAC_S
Nav65,VAC_S
Nav66,VAC_S
Nav67,VAC_S
Nav68,VAC_S
Nav69,VAC_S
Nav70,VAC_S
Nav111,VAC_S
Nav71,VAC_S
Nav72,VAC_S
Nav73,VAC_S
Nav74,VAC_S
Nav75,VAC_S
Nav76,VAC_S
Nav77,VAC_S
Nav78,VAC_S
Nav79,VAC_S
Nav80,VAC_S
Nav81,VAC_S
Nav82,VAC_S
Nav83,VAC_S
Nav89,VAC_S
Nav90,VAC_S
Nav91,VAC_S
Nav92,VAC_S
Nav93,VAC_S
Nav94,VAC_S
Nav95,VAC_S
Nav96,VAC_S
Nav97,VAC_S
Nav98,VAC_S
Nav99,VAC_S
Nav100,VAC_S
Nav101,VAC_S
Nav102,VAC_S
Nav103,VAC_S
Nav104,VAC_S
Nav105,VAC_S
Nav113,VAC_S
Nav84,VAC_S
Nav85,VAC_S
Nav88,VAC_S
Nav112,VAC_S
Nav114,VAC_S
Nav87,VAC_S
Nav55,VAC_DJF
Nav56,VAC_DJF
Nav57,VAC_DJF
Nav58,VAC_DJF
Nav60,VAC_DJF
Nav61,VAC_DJF
Nav62,VAC_DJF
Nav63,VAC_DJF
Nav64,VAC_DJF
Nav65,VAC_DJF
Nav66,VAC_DJF
Nav67,VAC_DJF
Nav68,VAC_DJF
Nav69,VAC_DJF
Nav70,VAC_DJF
Nav111,VAC_DJF
Nav71,VAC_DJF
Nav72,VAC_DJF
Nav73,VAC_DJF
Nav74,VAC_DJF
Nav75,VAC_DJF
Nav76,VAC_DJF
Nav77,VAC_DJF
Nav78,VAC_DJF
Nav79,VAC_DJF
Nav80,VAC_DJF
Nav81,VAC_DJF
Nav82,VAC_DJF
Nav83,VAC_DJF
Nav89,VAC_DJF
Nav90,VAC_DJF
Nav91,VAC_DJF
Nav92,VAC_DJF
Nav93,VAC_DJF
Nav94,VAC_DJF
Nav95,VAC_DJF
Nav96,VAC_DJF
Nav97,VAC_DJF
Nav98,VAC_DJF
Nav99,VAC_DJF
Nav100,VAC_DJF
Nav101,VAC_DJF
Nav102,VAC_DJF
Nav103,VAC_DJF
Nav104,VAC_DJF
Nav105,VAC_DJF
Nav113,VAC_DJF
Nav84,VAC_DJF
Nav85,VAC_DJF
Nav88,VAC_DJF
Nav112,VAC_DJF
Nav114,VAC_DJF
Nav87,VAC_DJF
