object_type,object_id,object_system,object_code
line,SCF:OCESN8799415287591180,source,OCESN8799415287591180
line,SCF:OCESN8799415287591180,navitia1,SCFOCESN8799415287591180
route,SCF:OCESNNoctilien8759118087994152New1,source,OCESNNoctilien8759118087994152New1
route,SCF:OCESNNoctilien8759118087994152New1,navitia1,SCFOCESNNoctilien8759118087994152New1
stop_point,SCF:SP:SPOCENoctilien87113001,navitia1,SCFSPOCENoctilien87113001
stop_point,SCF:SP:SPOCENoctilien87113001,source,SPOCENoctilien87113001
stop_point,SCF:SP:SPOCENoctilien87113209,navitia1,SCFSPOCENoctilien87113209
stop_point,SCF:SP:SPOCENoctilien87113209,source,SPOCENoctilien87113209
stop_point,SCF:SP:SPOCENoctilien87113217,navitia1,SCFSPOCENoctilien87113217
stop_point,SCF:SP:SPOCENoctilien87113217,source,SPOCENoctilien87113217
stop_point,SCF:SP:SPOCENoctilien87113696,navitia1,SCFSPOCENoctilien87113696
stop_point,SCF:SP:SPOCENoctilien87113696,source,SPOCENoctilien87113696
stop_point,SCF:SP:SPOCENoctilien87113704,navitia1,SCFSPOCENoctilien87113704
stop_point,SCF:SP:SPOCENoctilien87113704,source,SPOCENoctilien87113704
stop_point,SCF:SP:SPOCENoctilien87113712,navitia1,SCFSPOCENoctilien87113712
stop_point,SCF:SP:SPOCENoctilien87113712,source,SPOCENoctilien87113712
stop_point,SCF:SP:SPOCENoctilien87113746,navitia1,SCFSPOCENoctilien87113746
stop_point,SCF:SP:SPOCENoctilien87113746,source,SPOCENoctilien87113746
stop_point,SCF:SP:SPOCENoctilien87113779,navitia1,SCFSPOCENoctilien87113779
stop_point,SCF:SP:SPOCENoctilien87113779,source,SPOCENoctilien87113779
stop_point,SCF:SP:SPOCENoctilien87113795,navitia1,SCFSPOCENoctilien87113795
stop_point,SCF:SP:SPOCENoctilien87113795,source,SPOCENoctilien87113795
stop_point,SCF:SP:SPOCENoctilien87113803,navitia1,SCFSPOCENoctilien87113803
stop_point,SCF:SP:SPOCENoctilien87113803,source,SPOCENoctilien87113803
stop_point,SCF:SP:SPOCENoctilien87115873,navitia1,SCFSPOCENoctilien87115873
stop_point,SCF:SP:SPOCENoctilien87115873,source,SPOCENoctilien87115873
stop_point,SCF:SP:SPOCENoctilien87116012,navitia1,SCFSPOCENoctilien87116012
stop_point,SCF:SP:SPOCENoctilien87116012,source,SPOCENoctilien87116012
stop_point,SCF:SP:SPOCENoctilien87116020,navitia1,SCFSPOCENoctilien87116020
stop_point,SCF:SP:SPOCENoctilien87116020,source,SPOCENoctilien87116020
stop_point,SCF:SP:SPOCENoctilien87116038,navitia1,SCFSPOCENoctilien87116038
stop_point,SCF:SP:SPOCENoctilien87116038,source,SPOCENoctilien87116038
stop_point,SCF:SP:SPOCENoctilien87116046,navitia1,SCFSPOCENoctilien87116046
stop_point,SCF:SP:SPOCENoctilien87116046,source,SPOCENoctilien87116046
stop_point,SCF:SP:SPOCENoctilien87116079,navitia1,SCFSPOCENoctilien87116079
stop_point,SCF:SP:SPOCENoctilien87116079,source,SPOCENoctilien87116079
stop_point,SCF:SP:SPOCENoctilien87116087,navitia1,SCFSPOCENoctilien87116087
stop_point,SCF:SP:SPOCENoctilien87116087,source,SPOCENoctilien87116087
stop_point,SCF:SP:SPOCENoctilien87116095,navitia1,SCFSPOCENoctilien87116095
