from_stop_id,to_stop_id,min_transfer_time,real_min_transfer_time,equipment_id
RAT:SP:CHATE4,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE5,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE1,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE3,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE2,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE7,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE8,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:CHATE6,SCF:SP:SPOCENoctilien87978072,300,600,0
RAT:SP:GAUET1,SCF:SP:SPOCENoctilien87987453,127,427,0
RAT:SP:GAUET2,SCF:SP:SPOCENoctilien87987453,127,427,0
RAT:SP:GAUET3,SCF:SP:SPOCENoctilien87987453,127,427,0
RAT:SP:GAUET4,SCF:SP:SPOCENoctilien87987453,127,427,0
SCF:SP:SPOCENoctilien87987453,SCF:SP:SPOCENoctilien87987453,0,300,0
SCF:SP:SPOCENoctilien87987453,RAT:SP:GAUET1,128,128,0
SCF:SP:SPOCENoctilien87987453,RAT:SP:GAUET2,128,128,0
SCF:SP:SPOCENoctilien87987453,RAT:SP:GAUET3,128,128,0
SCF:SP:SPOCENoctilien87987453,RAT:SP:GAUET4,128,128,0
SCF:SP:SPOCENoctilien87987453,SCF:SP:SPOCERERA87758003,56,356,0
SCF:SP:SPOCERERA87758003,SCF:SP:SPOCENoctilien87987453,56,356,0
RAT:SP:BFMIT2,SCF:SP:SPOCENoctilien87986661,180,480,0
RAT:SP:BFMIT1,SCF:SP:SPOCENoctilien87986661,180,480,0
SCF:SP:SPOCENoctilien87588285,SCF:SP:SPOCENoctilien87986661,300,600,0
SCF:SP:SPOCENoctilien87328328,SCF:SP:SPOCENoctilien87986661,300,600,0
SCF:SP:SPOCERERC87328328,SCF:SP:SPOCENoctilien87986661,300,600,0
SCF:SP:SPOCENoctilien87978072,SCF:SP:SPOCENoctilien87978072,0,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE4,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE5,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE1,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE3,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE2,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE7,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE8,300,300,0
SCF:SP:SPOCENoctilien87978072,RAT:SP:CHATE6,300,300,0
SCF:SP:SPOCENoctilien87978072,SCF:SP:SPOCERERA87758607,300,600,0
SCF:SP:SPOCENoctilien87978072,SCF:SP:SPOCERERB87758607,300,600,0
SCF:SP:SPOCENoctilien87978072,SCF:SP:SPOCERERD87758607,300,600,0
