stop_time_id,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,local_zone_id,date_time_estimated
StopTime:SAR:null012972-1:20,SAR:null012972-1,06:35:00,06:35:00,SAR:SP:3912,0,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-1:21,SAR:null012972-1,06:36:00,06:36:00,SAR:SP:3904,1,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-1:22,SAR:null012972-1,06:37:00,06:37:00,SAR:SP:3914,2,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-1:23,SAR:null012972-1,06:38:00,06:38:00,SAR:SP:3915,3,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-1:24,SAR:null012972-1,06:39:00,06:39:00,SAR:SP:3901,4,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null014029-1:0,SAR:null014029-1,07:28:00,07:28:00,SAR:SP:1534,0,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:1,SAR:null014029-1,07:44:00,07:44:00,SAR:SP:4722,1,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:2,SAR:null014029-1,07:45:00,07:45:00,SAR:SP:4701,2,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:3,SAR:null014029-1,07:47:00,07:47:00,SAR:SP:4703,3,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:4,SAR:null014029-1,07:49:00,07:49:00,SAR:SP:4705,4,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:5,SAR:null014029-1,07:50:00,07:50:00,SAR:SP:4707,5,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:6,SAR:null014029-1,07:52:00,07:52:00,SAR:SP:4760,6,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-1:7,SAR:null014029-1,07:55:00,07:55:00,SAR:SP:2368,7,Laillé - DGA-MI,,,,
StopTime:SAR:null012972-2:1,SAR:null012972-2,06:35:00,06:35:00,SAR:SP:3912,0,Chartres de B. Pont-Péan,0,1,0,
StopTime:SAR:null012972-2:2,SAR:null012972-2,06:36:00,06:36:00,SAR:SP:3904,1,Chartres de B. Pont-Péan,0,0,0,
StopTime:SAR:null012972-2:3,SAR:null012972-2,06:37:00,06:37:00,SAR:SP:3914,2,Chartres de B. Pont-Péan,0,0,0,
StopTime:SAR:null012972-2:4,SAR:null012972-2,06:38:00,06:38:00,SAR:SP:3915,3,Chartres de B. Pont-Péan,0,0,0,
StopTime:SAR:null012972-2:5,SAR:null012972-2,06:39:00,06:39:00,SAR:SP:3901,4,Chartres de B. Pont-Péan,1,0,0,
StopTime:SAR:null014029-2:1,SAR:null014029-2,07:28:00,07:28:00,SAR:SP:1534,0,Laillé - DGA-MI,0,1,0,
StopTime:SAR:null014029-2:2,SAR:null014029-2,07:44:00,07:44:00,SAR:SP:4722,1,Laillé - DGA-MI,0,0,0,
StopTime:SAR:null014029-2:3,SAR:null014029-2,07:45:00,07:45:00,SAR:SP:4701,2,Laillé - DGA-MI,0,0,0,
StopTime:SAR:null014029-2:4,SAR:null014029-2,07:47:00,07:47:00,SAR:SP:4703,3,Laillé - DGA-MI,0,0,0,
StopTime:SAR:null014029-2:5,SAR:null014029-2,07:49:00,07:49:00,SAR:SP:4705,4,Laillé - DGA-MI,0,0,0,
StopTime:SAR:null014029-2:6,SAR:null014029-2,07:50:00,07:50:00,SAR:SP:4707,5,Laillé - DGA-MI,0,0,0,
StopTime:SAR:null014029-2:7,SAR:null014029-2,07:52:00,07:52:00,SAR:SP:4760,6,Laillé - DGA-MI,0,0,0,
StopTime:SAR:null014029-2:8,SAR:null014029-2,07:55:00,07:55:00,SAR:SP:2368,7,Laillé - DGA-MI,1,0,0,
StopTime:SAR:null012972-3:1,SAR:null012972-3,06:35:00,06:35:00,SAR:SP:3912,0,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-3:2,SAR:null012972-3,06:36:00,06:36:00,SAR:SP:3904,1,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-3:3,SAR:null012972-3,06:37:00,06:37:00,SAR:SP:3914,2,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-3:4,SAR:null012972-3,06:38:00,06:38:00,SAR:SP:3915,3,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null012972-3:5,SAR:null012972-3,06:39:00,06:39:00,SAR:SP:3901,4,Chartres de B. Pont-Péan,,,,
StopTime:SAR:null014029-3:6,SAR:null014029-3,07:28:00,07:28:00,SAR:SP:3901,0,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:1,SAR:null014029-3,07:44:00,07:44:00,SAR:SP:4722,1,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:2,SAR:null014029-3,07:45:00,07:45:00,SAR:SP:4701,2,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:3,SAR:null014029-3,07:47:00,07:47:00,SAR:SP:4703,3,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:4,SAR:null014029-3,07:49:00,07:49:00,SAR:SP:4705,4,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:5,SAR:null014029-3,07:50:00,07:50:00,SAR:SP:4707,5,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:6,SAR:null014029-3,07:52:00,07:52:00,SAR:SP:4760,6,Laillé - DGA-MI,,,,
StopTime:SAR:null014029-3:7,SAR:null014029-3,07:55:00,07:55:00,SAR:SP:2368,7,Laillé - DGA-MI,,,,
StopTime:SAR:null012972-4:1,SAR:null012972-4,06:35:00,06:35:00,SAR:SP:3912,0,Chartres de B. Pont-Péan,0,1,0,
StopTime:SAR:null012972-4:2,SAR:null012972-4,06:36:00,06:36:00,SAR:SP:3904,1,Chartres de B. Pont-Péan,0,0,0,
StopTime:SAR:null012972-4:3,SAR:null012972-4,06:37:00,06:37:00,SAR:SP:3914,2,Chartres de B. Pont-Péan,0,0,0,
StopTime:SAR:null012972-4:4,SAR:null012972-4,06:38:00,06:38:00,SAR:SP:3915,3,Chartres de B. Pont-Péan,0,0,0,
StopTime:SAR:null012972-4:5,SAR:null012972-4,06:39:00,06:39:00,SAR:SP:3901,4,Chartres de B. Pont-Péan,1,0,0,
