stop_time_id,trip_id,arrival_time,departure_time,boarding_duration,alighting_duration,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,local_zone_id,stop_time_precision,start_pickup_drop_off_window,end_pickup_drop_off_window

stop_time_id₄,SP:GareMennecy_SP:CorbeilEssonnes,10:40:00,10:40:00,0,0,SP:GareMennecy,0,,0,1,,,,
stop_time_id₅,SP:GareMennecy_SP:CorbeilEssonnes,10:45:00,10:45:00,0,0,SP:MoulinGalant,1,,0,0,,,,
stop_time_id₅,SP:GareMennecy_SP:CorbeilEssonnes,10:59:00,10:59:00,0,0,SP:CorbeilEssonnes,2,,1,0,,,,



bus_bb_1,bus_bb,11:10:00,11:10:00,0,0,SP:GareCorbeilEssonnes,0,,0,1,,,,
bus_bb_2,bus_bb,11:15:00,11:15:00,0,0,SP:EvryCourcouronnes,1,,0,0,,,,
bus_bb_3,bus_bb,11:30:00,11:30:00,0,0,SP:BrasdeFer,2,,1,0,,,,

bus_aa_1,bus_aa,10:15:00,10:15:00,0,0,SP:Gendarmerie,0,,0,1,,,,
bus_aa_2,bus_aa,10:20:00,10:20:00,0,0,SP:Darblay,1,,0,0,,,,
bus_aa_3,bus_aa,10:32:00,10:32:00,0,0,SP:GMennecy,2,,1,0,,,,

stop_time_id₆,SP:ODT:MoulinGalant_SP:MoulinFoulon,,,0,0,SP:ODT:MoulinGalant,0,,0,1,,,10:50:00,11:10:00
stop_time_id₇,SP:ODT:MoulinGalant_SP:MoulinFoulon,,,0,0,SP:Papeterie,1,,0,0,,,11:10:00,11:20:00
stop_time_id₈,SP:ODT:MoulinGalant_SP:MoulinFoulon,,,0,0,SP:MoulinFoulon,2,,1,0,,,11:20:00,11:35:00



stop_time_id_1,SP:JeanJaures_SP:ODT:GareMennecy,,,0,0,SP:JeanJaures,0,,0,1,,,10:10:00,10:20:00
stop_time_id₂,SP:JeanJaures_SP:ODT:GareMennecy,,,0,0,SP:BelAir,1,,0,0,,,10:20:00,10:30:00
stop_time_id₃,SP:JeanJaures_SP:ODT:GareMennecy,,,0,0,SP:ODT:GareMennecy,2,,1,0,,,10:30:00,10:40:00

vj_mixte_1,Juvisy:RisOrangis,11:10:00,11:10:00,0,0,SP:Juvisy,0,,0,1,,,,
vj_mixte_2,Juvisy:RisOrangis,,,0,0,SP:ViryChatillon,1,,2,2,,2,11:10:00,11:20:00
vj_mixte_3,Juvisy:RisOrangis,,,0,0,SP:RisOrangis,2,,2,2,,2,11:20:00,11:30:00

